GeneName	log2FoldChange	adjustedpvalue
FAM193B	1.120123372	5.31E-05
LOC113230	1.120109813	0.022974128
CA8	1.119643968	0.000295717
ASPHD2	1.118891575	0.017156501
RPIA	1.118671162	0.003816769
GYPE	1.116019561	0.000132759
ANKRD52	1.114880468	0.000662597
ANKRD12	1.114362219	0.000540675
TMPPE	1.114007047	0.018584236
TBL1XR1	1.113587866	0.000754717
STRN3	1.113050958	0.000831486
NUCB1	1.113037056	6.54E-05
RNF215	1.112378231	0.014033088
IL18BP	1.112240419	0.010615622
GOLGA2	1.111873445	6.68E-05
NRBP2	1.111525218	0.000787166
ARIH1	1.111358946	0.000822655
PIAS4	1.11101046	0.001008552
PAN3-AS1	1.110705987	0.008031248
ZMAT2	1.110662383	0.009306734
AMMECR1L	1.110515206	0.020436813
NRBP1	1.109176168	0.013697234
RABAC1	1.108936137	0.005139058
MSS51	1.108496709	0.008433591
PSMD9	1.108108265	0.010096692
RBX1	1.107928565	0.008418156
C2orf69	1.107908826	6.61E-05
PLCL2	1.107538937	0.024078827
MTF1	1.106849486	0.012692595
FAM8A1	1.106164004	0.00289562
CEP97	1.106087845	0.001757944
ICAM5	1.105895741	0.022801693
H3F3B	1.105637171	0.000296142
PIK3AP1	1.105446446	0.000160177
MTMR14	1.105222078	0.003273938
KCND1	1.104793169	0.04348451
AARS	1.104626332	0.032309218
ZNF24	1.104460061	0.001085169
YIPF2	1.10357581	0.000192432
PHF13	1.102610773	0.000345672
TPRA1	1.102492409	0.005036055
WDR62	1.102385496	7.43E-05
DCAF6	1.101088131	0.001320001
RBM5-AS1	1.099943692	0.022275674
MZT1	1.099216706	8.32E-05
DHX34	1.095799535	0.007309512
USP32	1.094776182	0.000607769
GNA13	1.094333066	0.007618899
SS18L1	1.094005485	0.00194644
EZR	1.091648378	0.00304411
TADA2B	1.091606505	0.000919788
RWDD3	1.088202193	0.002574807
PPOX	1.087604946	0.014636715
BLOC1S4	1.086102709	0.013364767
OGT	1.085181483	0.005486001
BSN	1.08462568	0.005751886
HCFC2	1.084567814	0.000205771
CROCCP3	1.084309117	0.007457503
FBXO42	1.083227403	0.033368888
ERVK13-1	1.082915667	0.020841414
PLOD3	1.082658924	0.000531972
ATP5S	1.082119305	0.035475882
LOC100129917	1.079858031	0.033261218
HMGB2	1.079620085	6.90E-05
FBXO9	1.078784916	0.049472379
RNF187	1.078722112	0.017487377
RHEBL1	1.078211708	0.034082668
MTMR4	1.0776005	0.005046091
PIK3R2	1.076152042	0.000848962
MYL4	1.075763232	0.000305974
LRRC75A	1.07537645	0.004262744
PLXNA2	1.075137535	0.031965599
SNX3	1.074772249	0.000150439
CDK9	1.074259214	0.005036055
NUSAP1	1.074066633	0.000070346
BRAF	1.07322444	0.007731795
CLCN2	1.072756283	0.000118546
KATNAL1	1.072429839	0.000610926
CAT	1.071544293	0.000516416
CD58	1.071489743	0.001834645
NPTN-IT1	1.071407434	0.015976333
GFOD2	1.070709256	0.001083206
EIF1	1.070518984	0.000326558
ASAP1	1.069841082	0.000436864
TSC22D4	1.068155379	0.008047719
GYPC	1.068002215	0.000389493
CTNS	1.067666119	0.011578514
TGFB1I1	1.066834265	0.002622829
ZNF628	1.066723904	0.014100894
JUN	1.06669634	0.023521234
CSTB	1.066679183	0.001126354
SETD1B	1.065799717	0.048146617
LOC286437	1.065536569	0.015993346
CASS4	1.064606021	0.012861272
SPSB3	1.064593665	0.017528602
KIF14	1.064542334	0.000449346
SECISBP2L	1.061284621	0.010207753
PHF21A	1.061158197	0.004278522
GCC2	1.060681542	0.000194759
ARHGEF2	1.060595943	0.000287774
EAF1	1.060225764	0.005696956
GAD1	1.058489273	0.00023268
HERPUD1	1.057921422	0.047017774
INO80D	1.057378454	0.000676967
CD59	1.057146587	0.001452551
ZFAND3	1.056494818	0.015080666
YIPF4	1.055987006	0.00039062
ZBTB48	1.055560628	0.002552146
SEC24C	1.054333005	0.000122486
LAMTOR3	1.053732862	0.002168301
RHEB	1.053667119	0.000557408
TMEM41B	1.053666767	0.000240526
BTAF1	1.053646169	0.003724655
B4GALT1	1.053163656	0.009047102
GSKIP	1.052672731	0.009969494
ARID4B	1.052354642	0.003079623
IL15RA	1.050644011	0.000931355
LARP1	1.050572297	0.003210877
MTRNR2L1	1.050409583	0.004549238
CDYL	1.049546042	0.003304211
SIPA1	1.047555068	0.002779603
SVIP	1.047356923	0.005198121
AKT2	1.047101128	0.000348901
CHMP2A	1.046926222	0.004405023
B2M	1.045361436	0.000936029
KLC4	1.044052471	0.00165912
PRC1	1.043541409	0.001378301
AKR1C1	1.04315061	0.028835249
ANKRD18B	1.042945187	0.015121157
KIAA1551	1.042155201	0.001652186
UBE2S	1.042061728	0.000340305
SRSF8	1.041762904	0.048115108
CARM1	1.041013095	0.001014652
PPP1CB	1.040371164	0.005648909
EPOR	1.040168791	0.008019997
IGF1R	1.0388566	0.001755451
SUDS3	1.038838186	0.001677805
KLF1	1.038278196	0.000959802
ZKSCAN8	1.038079171	0.000167959
CASC5	1.037710833	0.000463765
BRD4	1.037362983	0.011298982
LINC01000	1.037205269	0.00238209
SIAH1	1.03471773	0.019674258
AFF4	1.031400792	0.00201845
FBXW11	1.030374738	0.003463176
BCAS3	1.030086289	0.008356941
FDXR	1.030085934	0.009144968
ANKH	1.028975766	0.013089616
RAD21	1.028589863	0.002148713
EAPP	1.02842672	0.015779864
KIAA1191	1.028120981	0.000520816
TAOK3	1.028007998	0.031231594
THAP3	1.027709582	0.000979317
NFKBIB	1.026096615	0.016918477
PYROXD2	1.025769511	0.002523294
LYST	1.025251575	0.000638156
MED11	1.024313378	0.002973082
CLPX	1.024140723	0.00525183
SP100	1.023750962	0.009421883
TMEM81	1.022963054	0.040954035
GRAP2	1.022230189	0.009226307
LAMP2	1.021788991	0.001349886
LIPT1	1.021518368	0.00994884
RNF5	1.021136938	0.004519069
DNAJB6	1.019974136	0.007148169
F11R	1.019863472	0.003208603
TFDP2	1.019741807	0.019083252
KLF10	1.019376991	0.002583652
LIN37	1.019201276	0.011150627
NXF1	1.017913572	0.035007379
NAT6	1.017394707	0.001981208
ACTR1A	1.017207009	0.002583652
DDB1	1.016244147	0.000352036
AGAP4	1.015570063	0.026136736
IST1	1.014618686	0.001188797
ADAM17	1.012809273	0.029085648
HMBOX1	1.012719875	0.001215298
TMEM115	1.012580713	0.034069094
C10orf88	1.01256422	0.014857648
HS1BP3	1.012352208	0.01561771
TTC33	1.011531325	0.008144466
STXBP2	1.010958089	0.00027324
FAM122C	1.010018186	0.004394096
DUSP28	1.009952721	0.033589474
EMC9	1.009562947	0.002519711
CASP9	1.009424584	0.046636301
LINC00260	1.008585333	0.047571323
ACAP2	1.008200098	0.001279323
MAD2L1BP	1.006380196	0.009567929
CRKL	1.006297861	0.000198934
NECAP1	1.006281364	0.004498017
GPX4	1.005824268	0.005204168
MMP24-AS1	1.004341541	0.005967285
AGFG1	1.004275596	0.037611444
MKNK1	1.003862633	0.011150627
DDX59	1.003479504	0.011180235
VTI1B	1.002648316	0.004199626
RSRC2	1.001145245	0.000666446
CEMP1	0.999965784	0.022983628
SRRM2	0.999885175	0.000283213
ABCA7	0.999850784	0.000453852
GRIPAP1	0.999560087	0.001349886
FAM50A	0.999073282	0.000408879
TFPI	0.998187087	0.004293776
H2AFX	0.997611059	0.002173263
LRRC57	0.996933475	0.002464465
MID1IP1	0.995180513	0.001306787
KDM4B	0.994091609	0.00046947
SYNE3	0.991474606	0.017248385
LRRFIP2	0.991147221	0.000362472
ZFPL1	0.991137613	0.016606094
ARF1	0.990669858	0.004957739
ENTHD2	0.990459643	0.037034095
SUN2	0.99022801	0.000648958
PHC3	0.990077664	0.000769208
MZF1-AS1	0.988879768	0.008399425
CDC27	0.988869375	0.007949037
STX16	0.988840622	0.002463464
TSPYL1	0.987796049	0.003866832
HDAC6	0.987601375	0.000950303
ATP6V0E1	0.987318763	0.012213281
MIR210HG	0.986808321	0.030637305
RAB30-AS1	0.986517022	0.049356213
RPL23AP7	0.986073871	0.002533064
ZSWIM1	0.985882332	0.001096556
RAB2B	0.983714634	0.01610719
PSMF1	0.983680544	0.00774518
IRF3	0.982993048	0.007913294
MAN2A2	0.982828817	0.000382875
DNAJC27	0.982630745	0.003270606
CREB1	0.981523108	0.005794057
FAM126B	0.979315135	0.000925836
TMED4	0.978547036	0.00057864
RAB22A	0.978506776	0.01119737
MAPK8IP3	0.977323397	0.000973428
LOC100506314	0.976599574	0.029023184
KDM3A	0.976508961	0.000484104
MMADHC	0.974822648	0.009210953
PIP5K1B	0.973730198	0.009163919
ANP32E	0.973539038	0.006852214
CLIC4	0.97305858	0.041207697
TAB2	0.97298744	0.035533112
STX7	0.972088965	0.000752748
ARID3A	0.971943158	0.020916585
ALOX12	0.971648579	0.019137534
ATL2	0.970825247	0.023858311
C12orf60	0.96996947	0.01327047
TMF1	0.96961016	0.000809836
GRK6	0.96923234	0.000621425
DSTYK	0.969055906	0.036880313
LIN52	0.968852509	0.001875526
POLH	0.968572961	0.006138615
BRWD3	0.968446534	0.001042209
USP49	0.968372392	0.001491827
C1orf52	0.96794881	0.008918794
LIN54	0.967608302	0.008296526
GSK3A	0.967331994	0.00525183
ZNF449	0.96654688	0.028137429
PDCD10	0.966209592	0.031092104
SPTB	0.965770922	0.004798356
PMAIP1	0.965718828	0.039256259
PRDX6	0.965699652	0.002411502
TOPORS	0.96564726	0.026656475
PCM1	0.965312864	0.004278522
DPH3	0.964568078	0.03593186
FNBP4	0.964097423	0.001624935
C1D	0.963283006	0.021228736
CEP44	0.963033152	0.00482173
PI4KAP2	0.962827537	0.004597079
VEGFA	0.962527221	0.00128104
KANSL3	0.961193483	0.022722717
PNISR	0.960472492	0.007456083
MSMO1	0.958352183	0.017879895
OXSR1	0.958284735	0.002187668
HCCS	0.958207813	0.028560316
TOR1B	0.957505277	0.006598328
ILF3-AS1	0.957424205	0.001188217
RHAG	0.957394541	0.005707762
KMT5C	0.957034835	0.003821339
ARL2BP	0.956175686	0.009440778
DDX3X	0.955503191	0.003247449
PTTG1	0.954343303	0.000508258
SGO2	0.954097518	0.001322079
SP4	0.953280421	0.006696085
APC2	0.953163143	0.026900725
COG1	0.952264881	0.002352588
FBRS	0.951604807	0.014593796
MTRNR2L2	0.950726879	0.015459267
TXNDC16	0.950567904	0.000661147
BCL2L13	0.950410079	0.006815608
MCL1	0.949379403	0.000754621
SYNJ1	0.94932857	0.001688319
CDKN2C	0.94896037	0.042422778
EBLN3	0.948861181	0.002217053
PPP1R9B	0.948151261	0.048220237
FAM83F	0.946854972	0.001439766
UNC45A	0.946087752	0.000575016
MECP2	0.945810969	0.001688605
SSX2IP	0.943475692	0.005303332
YPEL2	0.943376646	0.01689722
E2F4	0.9424718	0.009207104
RNF38	0.94230499	0.000730098
GPBP1L1	0.942172844	0.001847653
TSG101	0.93924154	0.042711142
SECISBP2	0.938921937	0.017590465
NQO2	0.938708702	0.002049501
DLG1	0.937368255	0.004736549
SLU7	0.937208204	0.020578511
CLN5	0.936819876	0.008160132
PLA2G6	0.935064236	0.009848445
ARID4A	0.934676001	0.014680807
TMCO6	0.934467765	0.006363775
RCOR3	0.934461042	0.010012961
ZNF79	0.933063413	0.043722357
PRAF2	0.93214756	0.025210198
USP33	0.932037628	0.036511716
TCEA1	0.931513359	0.020198969
SIRT7	0.930754762	0.026331256
SLC20A1	0.929856807	0.001693763
HECTD3	0.929395546	0.002832426
VRK3	0.926439135	0.012662993
SHARPIN	0.925153829	0.012112662
SMG1	0.923457354	0.00148355
TMEM135	0.921017141	0.00299421
RLF	0.919205941	0.004350642
UBE2C	0.918325183	0.00290995
WHAMMP3	0.91746131	0.020649319
P2RY1	0.915849594	0.008144466
RAB8B	0.915637017	0.022653058
RHBDD1	0.91468157	0.020591478
ITPRIP	0.914370591	0.003582307
ZNF335	0.913779117	0.021486289
WDR13	0.912460884	0.012497549
C8orf88	0.911850351	0.00257984
PLIN2	0.911601783	0.032471314
IKZF5	0.910564739	0.020929413
SLC35E1	0.910279331	0.021172736
KIF18B	0.909257723	0.001823895
MAPK1	0.907666262	0.031192584
ACYP2	0.907589672	0.044723657
POLD4	0.907532877	0.038374221
PARD6B	0.907245388	0.026809148
FAM72C	0.906059285	0.043693669
AMDHD2	0.904805398	0.020526787
CORO1C	0.903010422	0.03782621
TRMT1L	0.902619532	0.014006159
FBXO11	0.901296424	0.009685832
ADAT1	0.899855364	0.019730273
STIL	0.899701377	0.001355024
DAP	0.898902836	0.048527182
RBM18	0.898818907	0.002228839
ANP32B	0.898399065	0.027038874
IP6K2	0.897045178	0.001875526
STAU1	0.896481137	0.00248982
HYOU1	0.895218612	0.015480089
CCNL2	0.894579982	0.002548986
C2CD3	0.894500455	0.037445401
VPS28	0.893814471	0.012496564
BCOR	0.893166425	0.008134161
IER2	0.892789035	0.029151431
ADNP2	0.89224025	0.017115509
LASP1	0.891773384	0.003413381
RMDN3	0.891433922	0.027214047
USP32P2	0.891083281	0.019321677
PACSIN2	0.890569646	0.011837221
AMFR	0.890348909	0.012544682
EMSY	0.890341215	0.012941724
SP1	0.889858289	0.001582516
FAM122A	0.889177624	0.035845086
IRF2	0.886143236	0.003885803
SOD1	0.885752577	0.027038874
BRWD1	0.885628165	0.002187604
SERINC3	0.885449937	0.0025655
ITGB1	0.883619437	0.003267155
SAT2	0.881453734	0.030865818
TAPT1	0.87999682	0.003885803
ST13	0.879047096	0.001384
TMEM120B	0.877963951	0.039795973
SKP1	0.877776627	0.01029477
7-Mar	0.877635604	0.006796845
PIF1	0.875622901	0.00332585
STK24	0.875543022	0.00172287
PDCL	0.874986229	0.006385889
XIST	0.874605356	0.028999641
SEC14L3	0.874449088	0.021910809
RBM22	0.873516729	0.008274931
ALAD	0.872946586	0.003680988
KIF2C	0.872241856	0.00501829
DPCD	0.872043534	0.042678935
C6orf62	0.871506318	0.023880075
ALMS1	0.871112395	0.002090873
KCTD7	0.870279931	0.019500111
NFYA	0.869792691	0.002105511
USP42	0.86975424	0.040173892
PIM3	0.867554163	0.004299502
STX4	0.867544579	0.024568277
SMC4	0.866418913	0.003136992
DDX52	0.866093188	0.042547509
PMM1	0.865672877	0.004725628
WDR91	0.865264903	0.010957755
SLC35A2	0.865038167	0.035432202
TRIM33	0.86443241	0.004332543
CDC25B	0.864237778	0.011117863
CCP110	0.863165	0.002432624
SARAF	0.862633414	0.004264696
ACSBG1	0.862455139	0.034782025
MINPP1	0.862157212	0.003698948
ZC3H12A	0.86210737	0.046882063
TROAP	0.861108897	0.002200419
SNORA104	0.860379301	0.047571323
CENPC	0.859957456	0.002957666
RXRA	0.859701997	0.01706526
TOLLIP	0.859252165	0.010633047
CDC25C	0.858657131	0.007393402
RBM15	0.858462813	0.040954035
HDGF	0.857938653	0.001853622
DYNC1LI2	0.857918896	0.033862704
HLA-C	0.85791477	0.004814029
FAM96B	0.857740598	0.010452114
RAB18	0.857669642	0.016932434
SAMD4B	0.857462026	0.022813511
PICALM	0.856666986	0.002503132
CCNF	0.855244002	0.002649203
OTUD3	0.854819114	0.02351503
ANLN	0.854745098	0.004166502
COPZ1	0.854099432	0.002446821
WAC	0.853739662	0.008991611
WHSC1L1	0.85362983	0.008211822
CCDC84	0.852498077	0.043967233
PIGA	0.852172492	0.005029219
CCNT2	0.850813717	0.005825008
RPS27L	0.85050702	0.003176771
GPKOW	0.850432537	0.007710063
RFESD	0.850247612	0.008388336
LAMTOR5	0.850177673	0.017528602
CENPE	0.847102323	0.003325994
DLGAP5	0.846439686	0.002354648
SMTN	0.84638974	0.026331256
CLCN7	0.845783347	0.003109557
TPST2	0.845513244	0.005081312
MCM3AP	0.845073813	0.030307259
PKN2	0.844743773	0.02436745
FERMT3	0.843493502	0.009482943
SLC2A4RG	0.843394853	0.008595631
ACADS	0.843026233	0.012662647
SEC22B	0.841309641	0.002601106
MTRNR2L8	0.840125327	0.045253331
PPP2R5E	0.839907852	0.006834622
CKAP2L	0.839632683	0.015198022
GNA12	0.839271445	0.025408827
KMT2B	0.837591918	0.004536081
LSS	0.837479303	0.03895793
DOT1L	0.836356778	0.016964434
RCCD1	0.836010922	0.013744667
DEPDC1	0.83559259	0.007284017
RYBP	0.834863285	0.016069018
NCAPG2	0.834157638	0.002807121
STX6	0.83408738	0.005835711
RRAGB	0.833591331	0.033522494
XK	0.833564732	0.016531677
HELZ	0.833525063	0.011575843
NIPBL	0.833517096	0.023122769
ENO2	0.833363448	0.028137429
DAZAP2	0.832964137	0.011131422
OAZ1	0.832880702	0.020378891
EMID1	0.831112416	0.004293776
CNPY4	0.831076875	0.014416793
ACOT8	0.830899726	0.01497512
BAX	0.830553157	0.009522459
LEPROT	0.830518817	0.010878698
MTURN	0.829784532	0.004865439
PCIF1	0.829416577	0.021026394
CDK1	0.829370958	0.002992493
ANKZF1	0.828975183	0.005158069
RAB21	0.82895953	0.025006483
KDM5A	0.82885656	0.016588174
USP24	0.828829889	0.00276555
BBIP1	0.828775597	0.042912283
CENPF	0.827590766	0.02685863
FPGT	0.826915692	0.012245515
TRIM11	0.82472638	0.013129311
ANKRD36BP2	0.824554131	0.026342282
C19orf52	0.824512112	0.01260727
PDIK1L	0.824474274	0.010334791
PAPOLG	0.824469793	0.013402668
NPLOC4	0.824020465	0.015115792
AKIRIN1	0.823394653	0.021278382
AHDC1	0.822589555	0.021635477
SEC24B	0.822490295	0.005622337
GMEB2	0.822466114	0.006702134
ACP1	0.821223307	0.015235012
H3F3AP4	0.820143909	0.006975817
SGO1	0.820112714	0.004799863
CCSAP	0.819867673	0.026862374
SBF1	0.819130762	0.019666121
UBQLN1	0.818930935	0.00453763
VPS37A	0.818468895	0.048220237
FAM222B	0.818162157	0.00793345
CHPT1	0.817342293	0.025544936
BAG3	0.817270476	0.009740175
CDCA2	0.817205652	0.004027143
WDR20	0.81709936	0.032309218
PTTG1IP	0.816954786	0.004405023
CHMP1B	0.816858544	0.025616478
LBR	0.813348015	0.012819161
ERAL1	0.813030879	0.013645165
KIAA0895L	0.812988094	0.038305419
MAX	0.811261466	0.038783785
YY1AP1	0.811236634	0.015950025
ODC1	0.809844377	0.036901122
PHIP	0.809070272	0.01168529
VCL	0.808956087	0.048644069
EEF1AKMT1	0.808946582	0.0461142
TOX4	0.808697547	0.033811268
NT5M	0.805274036	0.03013174
COL4A3BP	0.8042092	0.018963434
SBNO1	0.80244626	0.009762356
DDX6	0.801442951	0.006058579
CRAMP1	0.801203608	0.042645353
EIF3J	0.800937811	0.017275928
MFSD14A	0.800764772	0.017764114
AP2A1	0.800747299	0.017209604
CHFR	0.800690976	0.017068253
FAM134C	0.799578723	0.033153157
CHID1	0.799578379	0.008105021
PLEKHM2	0.798171298	0.008510949
SPTY2D1	0.796663883	0.039256259
NIT1	0.796584013	0.010346979
DCUN1D2	0.796012718	0.015308177
SHC1	0.795949528	0.027143236
LINC00938	0.795554794	0.047491719
CYBRD1	0.795156816	0.007322442
ANKHD1	0.794580769	0.023740322
ZZEF1	0.793709216	0.021977866
DGAT1	0.793123378	0.00863736
UBE2D3	0.792917366	0.028911106
BCAP29	0.792071807	0.029413274
FAM72A	0.790994889	0.024066792
RENBP	0.790820584	0.014888273
RACGAP1	0.789849701	0.005851722
GFOD1	0.789546852	0.029065773
SON	0.789497547	0.013481916
XPC	0.789469266	0.006408369
TMEM50A	0.788954719	0.047599348
BCL2L11	0.788575909	0.027903182
KIAA1715	0.788183745	0.005492083
PDPK1	0.788062754	0.006834622
ATP6AP1	0.787799196	0.005899768
RRM2B	0.787570666	0.010319087
ATXN1L	0.787473729	0.029085648
ELL	0.787135082	0.012884314
STAG3L4	0.786895638	0.027634119
ZBTB4	0.786665767	0.037825056
ZNF326	0.785782102	0.049069711
UBAC1	0.78562962	0.00528059
ATP6V1C1	0.785620743	0.010052478
KLF15	0.785545643	0.035530325
NUF2	0.7852854	0.006116641
TSPYL2	0.785223576	0.049716452
CTC1	0.784742581	0.021460099
ACTR3	0.783387611	0.030749691
USP19	0.780424642	0.04547441
MICALL2	0.779185838	0.021293882
HIC2	0.778622223	0.049200791
PHF8	0.77652125	0.01742756
PRELID3B	0.775534318	0.013696014
DDX17	0.775079813	0.007857546
FRS2	0.774922865	0.049383737
G2E3	0.774287927	0.018963434
KANSL1L	0.77383106	0.020752333
N4BP2L2	0.773785492	0.027315198
POLR2A	0.773689387	0.037988509
ABCC4	0.773566145	0.014746259
EXOC8	0.772954152	0.00863736
ZBTB11	0.772184562	0.008220534
PPM1B	0.771060555	0.048429369
SCAND2P	0.770855299	0.027315198
CNST	0.77066844	0.017115509
WDR6	0.77018257	0.037996605
ARID1A	0.769852617	0.040780982
GATA1	0.769234527	0.026106863
DAPK3	0.76825354	0.02579267
GTSE1	0.768191368	0.007456083
SLC25A25	0.766608315	0.013082787
RALGPS2	0.766314992	0.013645165
PLSCR4	0.765765547	0.01498996
TPM1	0.765727919	0.013536729
MED10	0.765118521	0.019083252
VCPKMT	0.764581328	0.03261821
ATAD2	0.764045818	0.012742125
LMTK2	0.763486778	0.036008939
CELF1	0.762427234	0.032699322
TM9SF3	0.762372424	0.017755136
LGALS8	0.760923869	0.049544748
TULP3	0.760464469	0.016313864
TLK2	0.760124277	0.010499824
STAT5B	0.758268575	0.039915342
MAN2C1	0.757323445	0.014145407
WDR48	0.757294832	0.034641366
PPP2R2D	0.756906264	0.010356108
KIAA1033	0.756187987	0.025224039
FAM72B	0.756181361	0.0482193
TMBIM6	0.75580864	0.021793941
ZNF507	0.755643239	0.012939442
ZC3H6	0.754937827	0.04266585
TP53BP2	0.754704212	0.008126263
CDC73	0.753945319	0.049192704
5-Mar	0.752841967	0.013782335
KLHL12	0.752594991	0.021917821
ZNHIT1	0.752300605	0.010923098
TMPO	0.752000556	0.010716811
LMNA	0.751497471	0.02909304
AKIRIN2	0.750906833	0.016331625
RABGEF1	0.749181086	0.031961932
PSMD10	0.748981631	0.02319501
PRDX2	0.747484954	0.00989722
SF3B1	0.747402148	0.034402068
PRKAB1	0.747291171	0.012344682
RIMKLB	0.747049409	0.010850306
PIAS1	0.746595591	0.035285803
PURB	0.745857469	0.031933274
KDM5C	0.74560378	0.030658863
HACD1	0.745330416	0.049554914
PTS	0.745116773	0.036837432
SRSF5	0.744084434	0.00912073
LOC100130899	0.744066916	0.01120639
HECTD1	0.743023959	0.033007332
IGHMBP2	0.742963606	0.014982858
DCUN1D3	0.742833872	0.046616382
MAN2A1	0.740783524	0.022728754
CENPT	0.740150407	0.012148989
GGA3	0.739653965	0.029065773
HIGD1A	0.739535362	0.011488351
RBM7	0.739256278	0.023377446
HUWE1	0.738362903	0.036208724
FAM53B	0.737643862	0.018423782
ZMYM6	0.736743632	0.044387256
SAR1B	0.736542566	0.0213485
RBM5	0.73590087	0.010815706
CCNI	0.735531738	0.025493347
CDC42	0.735321956	0.044551285
KLC1	0.735255313	0.012522055
CCNE2	0.73523414	0.020526787
E2F8	0.735102136	0.016937077
GAB1	0.734960101	0.011640487
DNAJC21	0.734873514	0.043906024
KIF18A	0.734696974	0.013771761
RNF139	0.73456188	0.028635273
MED28	0.733980969	0.025650068
STK35	0.733137366	0.035530325
CEP85	0.732299906	0.01268539
PPP1R2	0.732285305	0.040474469
SLC25A16	0.731664568	0.040052899
SETD2	0.731216286	0.046882063
SLC22A5	0.731198176	0.049322272
GLUL	0.730348532	0.026920012
TUBG1	0.726002759	0.011964608
CCDC18-AS1	0.725219816	0.041921372
KCTD2	0.724339874	0.022428334
LONRF2	0.72370474	0.035991251
EFCAB14	0.723574352	0.039158936
CLDND1	0.72250301	0.044908815
SLC48A1	0.717030707	0.038718215
PPP1R35	0.716670786	0.029065773
TIMM17B	0.715780869	0.020146264
TMCO3	0.713164573	0.02126016
GPBP1	0.71284737	0.015220097
MRFAP1	0.712810606	0.049740341
TCF3	0.712136327	0.026241773
STRN	0.711655694	0.042787935
SLC18B1	0.711270949	0.037445401
FHL2	0.711014257	0.019730273
GON4L	0.709697873	0.032916894
ARHGAP19	0.709034162	0.027405961
BORA	0.708311262	0.01988911
HOXB2	0.708262871	0.024066792
SBDS	0.708174028	0.033870004
SUSD6	0.707882659	0.025493347
SCFD1	0.705869543	0.020066415
NCAPG	0.705618398	0.017487377
DBF4	0.705606873	0.015548922
ZNF592	0.704612892	0.036245841
KCMF1	0.704485213	0.046954402
CDK5RAP2	0.703593254	0.020953432
RAB6A	0.702721032	0.027634119
DCP1A	0.70269418	0.020637181
ZNF264	0.700531713	0.026664026
TSPAN13	0.69757259	0.015666543
GOLGA1	0.696485475	0.025005888
TOP2A	0.696275902	0.042912283
CRADD	0.696226546	0.035439405
PAPD7	0.695768557	0.026664026
PIK3C2A	0.695357232	0.036008939
NDUFAF3	0.694687462	0.040509645
TUBGCP6	0.693894424	0.022968067
CDKN3	0.692998328	0.045226005
MON2	0.692891925	0.029151431
CSNK1D	0.691870767	0.042818394
C6orf89	0.69139983	0.027199947
WHSC1	0.690947055	0.015228844
NFIA	0.690070285	0.016176949
STARD4	0.689672515	0.048921094
NGRN	0.68887305	0.020316847
DHX8	0.688482097	0.039158936
HIP1	0.687780406	0.049400353
SHCBP1	0.686708608	0.020796722
CLTC	0.686591135	0.016932434
ATP6V0D1	0.683981998	0.034525932
ING1	0.680315873	0.032309218
TEC	0.680193425	0.04792949
CEP95	0.678600343	0.029165586
LTBP1	0.677611365	0.035255638
CDCA8	0.676922601	0.019876481
MLF2	0.675485175	0.046882063
RAP2C	0.675454088	0.03293175
DIAPH3	0.67518753	0.026342282
FOXN3	0.675132627	0.029065773
BRPF1	0.67447158	0.028212328
ZFP91	0.674326188	0.036255386
NSRP1	0.673492417	0.048527182
ZMYND8	0.672728754	0.02213992
ZNF888	0.672546939	0.048061065
PTP4A1	0.672165464	0.042787935
KIF5B	0.671968456	0.023056134
APBA3	0.671003724	0.044723657
RRM2	0.67006129	0.048697976
TTK	0.669673801	0.032935739
PTGES3	0.668666431	0.032218781
ARL8B	0.666918637	0.027280555
NECAP2	0.666278256	0.029009886
RTFDC1	0.66569534	0.03463906
ZNF367	0.664819156	0.025408827
TOM1	0.66445318	0.043773596
ABCB9	0.663503372	0.04819908
AP1G1	0.662140061	0.049230953
ATF1	0.661346432	0.04334742
MIS18BP1	0.659271882	0.028699528
GPATCH2L	0.658474684	0.036354476
NPC1	0.658256874	0.04597778
MIB1	0.657985729	0.024770007
PPP6R1	0.657320747	0.047610236
CANT1	0.655645258	0.03535266
HP1BP3	0.652665698	0.027082737
ADIPOR2	0.652218731	0.038268663
ERI1	0.652197014	0.029242332
DR1	0.651591315	0.027038874
ATP1A1	0.651175781	0.025177809
ALKBH5	0.648213286	0.025049769
TTBK2	0.648081508	0.04895591
AURKA	0.647350219	0.030895224
VCP	0.647008089	0.043773596
METTL9	0.646858183	0.026545332
CPNE1	0.645240586	0.030669192
PRR11	0.645085261	0.037995825
DHPS	0.644255778	0.043538567
ZNF292	0.644242738	0.035954296
EMD	0.644029025	0.030854076
CHST11	0.643497379	0.045010722
HINT3	0.643291362	0.048726352
IQSEC1	0.641932871	0.026229829
KIF22	0.641082819	0.030389443
SPAG5	0.640775698	0.033261218
VWCE	0.639782959	0.043426569
CMPK1	0.63831556	0.030658863
SNRNP27	0.638006899	0.038237776
DDX12P	0.633295709	0.048455488
ATP5E	0.633251554	0.040226177
TOB2	0.633125299	0.041247483
NDC80	0.633002004	0.047014716
CA2	0.631621401	0.030225648
POLDIP3	0.628440377	0.033751955
CALM3	0.627633785	0.029818625
UBE2R2	0.62603319	0.039158936
ATG12	0.613303795	0.044491577
GLG1	0.612550484	0.039326546
KIF15	0.612279834	0.039545607
TACC3	0.611363656	0.036379375
MXD1	0.611215274	0.04708539
RABGAP1	0.610092327	0.049526333
